Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2000.830835439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089028949,0.0117559761,0.0120778776,0.0267268878,0,0.0093582097,0,0.00623095,0,0.0224657592,0.0094962185,0,0,0,0,0,0,0.0291904168,0,0,0.0217656363,0,0,0.0242992997,0,0,0,0,0,0,0,0,0
2009.6100076264,0,0,0.0083294108,0,0.0086331245,0.0097579802,0,0,0,0.0079921846,0,0,0.0085761888,0,0.0062066551,0,0,0,0.0081430627,0,0,0,0,0,0,0,0,0,0,0.0068337687,0,0,0,0,0,0.009356251,0,0,0,0,0.007423178,0.0067918917,0.0138718393,0.0111583105,0.006682585,0.010003085,0.0085390741,0,0,0.0103930604,0.0097915917,0.0084068056,0,0.0066321441,0,0,0.0075854204,0,0
2016.0929995353,0.0201517812,0.0064186836,0.0258110992,0.0161074527,0.0276695323,0.0387565489,0.024011776,0.0182345083,0.0078482697,0.0135105332,0.0119359749,0.0125759702,0.0242020534,0.0148438203,0.0153015307,0,0.0079154489,0.0067591464,0.0345970943,0.0131307201,0.0080252608,0.0154177695,0.0110588173,0.0133761181,0.0068693529,0.0108855773,0.0219306083,0.0197933781,0.0215529577,0.0367396784,0.0066484261,0.014216215,0.0156510749,0.0107349032,0.0077804825,0.0315371894,0.0149032606,0.0167269433,0.0061200308,0.019892833,0.0257176053,0.0224548359,0.0470895392,0.0526743146,0.021783438,0.0338838955,0.0403087666,0.0109519854,0.0234764742,0.0514369132,0.026477719,0.0260637561,0.0113265979,0.0168099842,0.0159912052,0.0097785512,0.0148562971,0.0099379783,0.0141698127
2033.5362398934,0,0,0.0050408865,0,0,0.0069453439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079166412,0,0.0065679269,0,0,0,0.0086283225,0,0,0,0,0,0,0,0,0
2041.1213615263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071001884,0,0,0,0,0,0,0,0,0,0,0,0,0.0098795092,0.0080566822,0,0.0066638437,0,0,0,0,0.0065202789,0,0,0,0,0,0,0,0
2049.9885484832,0,0,0.0061008698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069562465,0,0,0,0,0,0,0,0.0096300489,0,0.0073718782,0.0069358088,0,0,0.0088154349,0.0082717912,0,0,0,0,0,0,0,0
2058.8749893012,0.0082072051,0,0.0223731486,0.0193279654,0.0223961718,0.0229727516,0.0204508012,0.019326273,0.0123970188,0.0414686682,0.0093670942,0.0191738356,0.0202626961,0.0079791954,0.0247066599,0,0,0.0055193431,0.0196211569,0.0296578643,0.0097921539,0.0215306718,0.0155906606,0.0103733463,0.0171846099,0.0090295643,0.0112339839,0.0138035204,0.0136339312,0.0210969948,0.0105402339,0,0.0167987292,0,0,0.0234291673,0.0106426362,0.012754732,0,0.0230170214,0.0160053608,0.0243444024,0.0369749577,0.0322183337,0.018402601,0.0364748477,0.0236508605,0.0365525225,0.0164233925,0.037800334,0.0490452146,0.0133597551,0,0.0197107343,0.0132561989,0.0114369044,0.0205934586,0,0.012163759
2065.234235232,0,0,0.0099065124,0,0.0088017726,0.0086510819,0.0071702116,0.0069373522,0,0.009026663,0,0,0,0,0.0062428832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085193548,0,0,0,0,0,0,0.0182289289,0.0142283167,0.0069699843,0.0101758897,0.0106140508,0.0076361917,0,0.0127667697,0.0103442517,0,0,0,0,0,0,0,0
2080.5365058962,0,0,0.0058109834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068713572,0,0,0,0,0,0,0,0,0,0,0,0,0.0094438268,0.0081130259,0,0,0,0,0,0.0078157449,0,0,0,0,0,0,0,0,0
2089.4889616701,0,0,0.011266987,0.0089572329,0.0110632614,0.011946668,0.0096945503,0.007602322,0,0.0116294899,0.0054370816,0,0.0132768684,0.0057821933,0.0096451133,0,0,0,0.014032138,0.0098708558,0.0061139845,0.0101223393,0.0074566951,0.0061030343,0.0071230864,0.0071146537,0,0.0097968442,0.0107296382,0.0162885244,0,0,0.0086054523,0,0,0.0185674188,0.0076717086,0.0084393599,0,0.0095884377,0.0111461469,0.0109951677,0.0089666454,0.0191710613,0.0083395722,0.0105602386,0.0133489882,0.0109090929,0,0.0166962296,0.0108032852,0.012118664,0,0.0092615874,0.007955419,0,0.0080087246,0,0.007008193
2097.1778204813,0,0,0.0051433093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005500006,0.0075807375,0,0,0.0062967378,0,0,0,0,0,0,0,0,0,0,0.0079953256,0,0,0,0,0,0.0094426259,0.006134268,0,0,0,0,0,0,0,0
2107.4516380338,0,0,0.0059486167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069486501,0,0,0,0,0.0064771099,0,0.0086994217,0.0101083752,0,0,0.0067816535,0,0,0.0082256389,0,0.0063968185,0,0,0,0,0,0,0
2130.6596819984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081674656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2181.3805768837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065917952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2187.9264852485,0,0,0.0059634997,0.0068277266,0,0,0,0,0,0.0103840186,0,0,0,0,0.0065288528,0,0,0,0,0.0072712627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065429716,0,0,0,0,0.0062357261,0.0083778416,0,0.0091159626,0,0.0085311472,0.006461403,0.0090326581,0,0.0098788407,0.0109811539,0,0,0.0073373061,0,0,0,0,0
2206.3072988025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095153448,0,0,0,0,0,0.0075080163,0,0,0,0,0,0,0,0.0084803068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2212.890543227,0.0091320573,0.0039834506,0.0075305542,0.0177022625,0.0088818133,0.0093275919,0.0107602294,0.0114774908,0.0078724435,0.0171247661,0.0072466194,0.0153483912,0.0098160305,0.0072771864,0.0123985349,0,0,0.0055726432,0.0101010036,0.016331437,0.0067154515,0.009159049,0.0121719538,0.0061447726,0.0103152529,0,0.0090786459,0.0078571732,0.007424537,0.0109901492,0.0072178765,0,0.0091081755,0,0,0.0078028839,0.0100494755,0.0079407754,0,0.0156149267,0.0143115656,0.0153110322,0.0216789326,0.0103250936,0.014295159,0.0225837974,0.0139805075,0.0169804055,0.0083812408,0.0137606701,0.0223919302,0.0107735642,0.0054521103,0.0132762744,0.0084430557,0.0111685949,0.0166949556,0,0.0096252214
2220.8034061731,0,0,0.0051141605,0.0063758238,0.007460282,0.0073321644,0.0062448799,0,0,0.0069616098,0,0,0,0,0,0,0,0,0.0085849939,0,0,0,0,0.0055520239,0,0,0,0.0066831481,0.0064026203,0.0139782896,0,0,0.0057491755,0,0,0.0116539201,0.00683418,0,0,0,0.008001017,0.0069991911,0.0089102553,0.0155840713,0.0072550451,0.0103904385,0.0108842522,0,0,0.012305426,0.0093136208,0.0071422016,0,0.0059571729,0,0,0,0,0
2241.9735464701,0,0,0.0073474958,0,0.0075341071,0.0080238094,0.0065995154,0,0,0.0106737384,0,0,0,0,0.0071940996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083118691,0,0,0,0,0,0.008908963,0,0,0,0,0,0.0066515431,0.0105741949,0.0120037219,0,0.0090285781,0.0081872936,0.0090731135,0,0.0118164862,0.0105343967,0,0,0,0,0,0,0,0
2251.2671218947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110248388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265.9102227177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128373063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2328.8992798815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078455948,0,0,0,0,0,0,0.0061331426,0,0,0,0,0,0,0,0
2406.3610733402,0.0081409951,0,0.0268528393,0.0151065008,0.0284905101,0.0276472014,0.0240495859,0.0197283684,0.0130448631,0.035950908,0.0115320248,0.0156257363,0.020982127,0.0081840533,0.0247505291,0,0,0.0054372386,0.0226418841,0.0223020643,0.0107256282,0.0205194772,0.0142426342,0.0111504912,0.0149536918,0.011632551,0.0104402316,0.0161007156,0.0177931772,0.0266622008,0.0112543293,0,0.0153015091,0.0079847656,0,0.0327324772,0.0134479802,0.0144130193,0,0.0184843565,0.0182134932,0.0201883287,0.031676218,0.0430616442,0.0212515292,0.0321617369,0.0318914956,0.0319926962,0.0157883167,0.041783831,0.0358146435,0.0187451771,0.0061341612,0.0161919426,0.012680766,0.0092281379,0.015134157,0,0.0106700132
2427.8224054138,0,0,0,0.0080651781,0,0,0,0,0,0.0101410382,0,0.0076346736,0,0,0,0,0,0,0,0.0090566994,0,0,0,0,0.0059903099,0,0,0,0,0.0072796383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006264327,0.0060347406,0.0067952505,0,0,0,0,0.0119480776,0,0,0,0,0,0,0,0
2446.8381548641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074902529,0,0,0,0,0,0.0078541329,0,0,0,0,0,0,0,0,0
2536.561111744,0,0,0.0051484935,0,0,0,0,0,0,0.0071568196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069380859,0,0,0,0,0,0,0,0.0091942178,0,0,0.0068093438,0,0,0.0083498383,0.0067488497,0,0,0,0,0,0,0,0
2545.6224410987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062795483,0,0,0,0,0.0073902157,0.0103770502,0,0,0,0,0,0,0,0.0106394532,0,0,0,0,0,0,0,0
2554.6999590905,0,0,0.0080808097,0,0.0094207601,0.0077905449,0.0067835834,0,0,0.011331537,0,0,0.0078653168,0,0.0069461801,0,0,0,0.0090672809,0,0,0,0,0,0,0,0,0,0,0.0081715932,0,0,0,0,0,0.0112086098,0,0,0,0,0.0081011537,0.0086865327,0.0108543742,0.0142916724,0.0072625811,0.0100040813,0.0111154387,0.0095498665,0,0.0125965946,0.0111463867,0.0084160246,0,0.0066716205,0,0,0,0,0
2675.5091152361,0.0081751201,0.0034431858,0.0075129344,0.0133056352,0.0136176529,0.0075936266,0.0074866623,0.0080147678,0.0084156404,0.0109875419,0.0056702043,0.0136143022,0.0088645338,0.0061269449,0.0086244903,0,0,0.0067932162,0.0093370774,0.0249834276,0.0056144948,0.0083224812,0.0101180824,0.0071340111,0.0147483535,0,0.010620231,0,0.0064656915,0,0.0078372802,0,0.0078315466,0,0,0.0066229765,0,0,0,0.0097151593,0.0099320896,0.0111070971,0.0307206764,0,0.0128461474,0.024354278,0.0094771696,0.0168352866,0.0087701046,0.0092865114,0.0148926295,0.0067809748,0,0.0097604555,0.0071802367,0.0122089885,0.009942137,0,0.0098927808
2689.039089763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071858747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3021.2578574343,0,0,0,0.0075790719,0,0,0,0,0,0.0081596564,0,0.0072218339,0,0,0.0055478829,0,0,0,0,0.007932658,0,0,0,0,0.0055232784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083090102,0.0064697996,0,0.0129863731,0,0,0.0093521103,0,0,0,0,0.008082861,0,0,0,0,0,0.0078903815,0,0
3126.3645339988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097498486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3156.5971667249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077232862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170.7876346025,0,0,0,0,0,0,0,0,0,0.0076167334,0,0,0,0,0,0,0,0,0,0.010337698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092762094,0,0,0.0089037499,0,0,0,0,0.0068253606,0,0,0,0,0,0,0,0
3201.7621273214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194613324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3247.907921832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008747293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3254.5652532869,0,0,0.005250869,0.010866199,0.0078103956,0,0,0.0075783698,0.0070493669,0.0097817502,0,0.0116585857,0,0,0.0071562009,0,0,0,0,0.0156081224,0,0,0,0,0,0,0.0077293004,0,0,0,0.006276857,0,0,0,0,0,0,0,0,0.0121536844,0.0061634942,0.0073552476,0.0143206232,0,0.0066881748,0.0120504194,0,0.0103511434,0,0,0.0087174305,0,0,0.0071433388,0,0.009897208,0.0082524112,0,0.0077859186
3262.9632175311,0.0069780923,0,0,0.0063801094,0,0,0,0,0,0,0,0.0076532607,0,0,0,0,0,0,0,0,0,0.0088998982,0.009066436,0,0.0093136039,0,0,0,0,0,0,0,0.0061175947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300.0162794393,0,0,0,0.0075688327,0,0,0,0,0,0,0,0.0075897361,0,0,0.0057494273,0,0,0,0,0.008147986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066888083,0,0.0072896454,0,0,0.0076136772,0,0,0.0063282886,0,0.0070593136,0.0081735867,0,0
3413.6614108271,0,0.0036659682,0.0062958785,0.011154072,0.009227846,0,0.0066282448,0.0073334508,0.0075160658,0.0088405785,0.0055245314,0.0119984604,0,0,0,0,0,0.0057540046,0,0.0153003042,0.0055825609,0.0084675331,0.0082168514,0,0.0100273192,0,0,0,0,0,0.0073171045,0,0.0060838401,0,0,0,0,0,0,0.0108999933,0,0,0.0155190321,0,0.0058023423,0.0100072523,0,0.0109018714,0.0078103301,0,0.0076504814,0,0,0.0063290564,0,0.0088955557,0.0073699833,0,0.0073312867
3443.7442737307,0.010226929,0.0054270381,0.0075851263,0.0138228784,0.0107790708,0.0079011904,0.0095855596,0.0108811172,0.0102266725,0.0126365266,0.0076924579,0.0155036282,0.0084144214,0.0068502232,0.0088628493,0,0.0072161473,0.0080606765,0.010162056,0.0194644072,0.0082665706,0.0133009529,0.0129898321,0.0079254838,0.0132658732,0.007074801,0.0108501212,0.0083310134,0.0067681934,0.0087661597,0.0095708724,0,0.009380651,0,0.006562635,0.0081704001,0.0079683386,0.0093872317,0,0.0138981073,0.0083011763,0.0083547877,0.0189950401,0,0.0089810911,0.0136898236,0.0076334659,0.0138025363,0.0100415089,0.0078657582,0.0120676046,0.0069087261,0,0.0098303003,0.0075105767,0.0135156502,0.0125229648,0,0.0102504269
3496.0171594856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084610028,0,0,0,0,0,0,0,0
3516.7598391564,0.0069706015,0.0040933315,0.005400283,0.0099959747,0,0,0.0072644984,0.00791315,0.0059248694,0.0096178026,0.0053452346,0.0106606709,0,0,0,0,0,0,0,0.0128360283,0,0.0093016025,0.0091719654,0.0063498941,0.0090206803,0,0,0.0065084983,0,0.0070311987,0.0071986304,0,0.006027794,0,0,0,0.0067716777,0.0080250318,0,0.0100048091,0,0,0.0115277977,0,0,0.0090494946,0,0.0072834457,0.0081338794,0,0.0081719418,0,0,0.005829477,0,0.0076346908,0.0074518613,0,0
3642.6556352824,0.0454203615,0.0249407342,0.0505570816,0.0755687823,0.0327547642,0.0282337189,0.0574246593,0.0601444744,0.0451977092,0.0622516942,0.0320818739,0.0753482283,0.035043366,0.0302093089,0.0444173599,0.0117077497,0.0113558349,0,0.023690699,0,0.0355107213,0.0664975552,0.0586392888,0.0377091929,0.0684584786,0.0290604083,0.0500379779,0.040890678,0.0236137623,0,0.050000173,0.0106519077,0,0.0237890302,0.0179950763,0,0,0.0290654467,0.0215271839,0.0450956218,0.0301097984,0.0318767306,0.0139859065,0.0217461465,0.0602045507,0.0400956933,0.0345778425,0.054858789,0.0451931634,0.0422353324,0.0750798128,0.0179359286,0.0246161583,0.0530905944,0.0331774866,0.0535762384,0.058756212,0.0089183259,0.0476192779
3650.9693543298,0,0,0,0,0,0,0,0,0,0.0315237913,0,0,0,0,0,0,0,0.0265211717,0,0.0597282463,0,0,0,0,0,0,0,0,0,0.0371746266,0,0,0.0338589703,0,0.0109336465,0.0177254103,0.0269957168,0,0,0,0,0,0,0,0,0.0214680142,0,0,0,0,0,0.0096811434,0,0,0,0,0,0,0
3662.267197114,0.0111503728,0.0048260808,0.0087779589,0.0161744233,0,0.0066610398,0.0106800783,0.0099135846,0.0075150027,0,0.0061117975,0,0.0082911681,0.0071928741,0.0099407216,0,0,0.0084838806,0,0.0127663979,0,0.0145683111,0.0125364837,0.0100495876,0,0,0.0130133271,0.0097876899,0.0062204429,0.0107145335,0.0086193039,0,0.0088414937,0,0,0,0,0.0077294749,0,0.0111229862,0.0077520038,0,0,0,0.0121119765,0.0087861852,0,0,0.0097238424,0.0091131424,0,0,0.0056927649,0.0099844592,0.0072107426,0.009816957,0.0114104053,0,0.0105432934
3672.1671615374,0.0112075481,0.0056200495,0.0083697811,0.0172531288,0.007350814,0.0071580456,0.0107471389,0.0116323148,0.0085136215,0.0135757521,0.0072534127,0.0143540586,0.0094684252,0.0093294407,0.0094097112,0,0,0.0089173022,0.0098380105,0.0199000229,0.0090955799,0.0164335535,0.0132120117,0.009494274,0.0142175372,0,0.0104495978,0.0106530506,0.0076996654,0.0114634965,0.0114019481,0,0.0095800584,0,0.0075269811,0.0082735289,0.0126324174,0.0113286175,0,0.0161718934,0.0093480021,0.0081381599,0.0142553949,0.0066570045,0.009596055,0.0135841989,0.0082782859,0.0108508778,0.0110715732,0.0094687997,0.014638223,0.0077970714,0.0060571351,0.0107955988,0.0075021521,0.0103143952,0.0131695909,0,0.0108907489
3680.8137558073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089149551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
